date,expiry,instrument,strike,option_type,ttm_days,iv,price
2025-06-07,2025-06-27,BTC-27JUN25-30000-P,30000.000000,put,20.333333,181.670000,0.000100
2025-06-07,2025-06-27,BTC-27JUN25-40000-P,40000.000000,put,20.333333,141.350000,0.000100
2025-06-07,2025-06-27,BTC-27JUN25-50000-P,50000.000000,put,20.333333,108.780000,0.000100
2025-06-07,2025-06-27,BTC-27JUN25-55000-P,55000.000000,put,20.333333,96.080000,0.000100
2025-06-07,2025-06-27,BTC-27JUN25-65000-P,65000.000000,put,20.333333,77.570000,0.000200
2025-06-07,2025-06-27,BTC-27JUN25-70000-P,70000.000000,put,20.333333,71.860000,0.000400
2025-06-07,2025-06-27,BTC-27JUN25-75000-C,75000.000000,call,20.333333,61.830000,0.289500
2025-06-07,2025-06-27,BTC-27JUN25-75000-P,75000.000000,put,20.333333,61.650000,0.000500
2025-06-07,2025-06-27,BTC-27JUN25-78000-P,78000.000000,put,20.333333,60.010000,0.000600
2025-06-07,2025-06-27,BTC-27JUN25-80000-P,80000.000000,put,20.333333,54.260000,0.000700
2025-06-07,2025-06-27,BTC-27JUN25-84000-P,84000.000000,put,20.333333,49.680000,0.001100
2025-06-07,2025-06-27,BTC-27JUN25-85000-C,85000.000000,call,20.333333,53.620000,0.194500
2025-06-07,2025-06-27,BTC-27JUN25-85000-P,85000.000000,put,20.333333,49.780000,0.001200
2025-06-07,2025-06-27,BTC-27JUN25-88000-P,88000.000000,put,20.333333,45.540000,0.001800
2025-06-07,2025-06-27,BTC-27JUN25-90000-C,90000.000000,call,20.333333,43.160000,0.149000
2025-06-07,2025-06-27,BTC-27JUN25-90000-P,90000.000000,put,20.333333,44.990000,0.002500
2025-06-07,2025-06-27,BTC-27JUN25-92000-C,92000.000000,call,20.333333,42.940000,0.132500
2025-06-07,2025-06-27,BTC-27JUN25-92000-P,92000.000000,put,20.333333,41.040000,0.003700
2025-06-07,2025-06-27,BTC-27JUN25-95000-C,95000.000000,call,20.333333,39.340000,0.098000
2025-06-07,2025-06-27,BTC-27JUN25-95000-P,95000.000000,put,20.333333,40.460000,0.006500
2025-06-07,2025-06-27,BTC-27JUN25-97000-P,97000.000000,put,20.333333,39.260000,0.008000
2025-06-07,2025-06-27,BTC-27JUN25-100000-C,100000.000000,call,20.333333,38.940000,0.069000
2025-06-07,2025-06-27,BTC-27JUN25-100000-P,100000.000000,put,20.333333,38.890000,0.013500
2025-06-07,2025-06-27,BTC-27JUN25-101000-C,101000.000000,call,20.333333,37.870000,0.058000
2025-06-07,2025-06-27,BTC-27JUN25-101000-P,101000.000000,put,20.333333,37.400000,0.016500
2025-06-07,2025-06-27,BTC-27JUN25-102000-C,102000.000000,call,20.333333,37.380000,0.051500
2025-06-07,2025-06-27,BTC-27JUN25-102000-P,102000.000000,put,20.333333,38.390000,0.020000
2025-06-07,2025-06-27,BTC-27JUN25-105000-C,105000.000000,call,20.333333,38.610000,0.041000
2025-06-07,2025-06-27,BTC-27JUN25-105000-P,105000.000000,put,20.333333,38.730000,0.031000
2025-06-07,2025-06-27,BTC-27JUN25-107000-C,107000.000000,call,20.333333,39.360000,0.032500
2025-06-07,2025-06-27,BTC-27JUN25-107000-P,107000.000000,put,20.333333,38.260000,0.045500
2025-06-07,2025-06-27,BTC-27JUN25-108000-C,108000.000000,call,20.333333,37.510000,0.024500
2025-06-07,2025-06-27,BTC-27JUN25-108000-P,108000.000000,put,20.333333,37.540000,0.046000
2025-06-07,2025-06-27,BTC-27JUN25-109000-C,109000.000000,call,20.333333,38.360000,0.022500
2025-06-07,2025-06-27,BTC-27JUN25-110000-C,110000.000000,call,20.333333,39.990000,0.022000
2025-06-07,2025-06-27,BTC-27JUN25-110000-P,110000.000000,put,20.333333,39.240000,0.059000
2025-06-07,2025-06-27,BTC-27JUN25-111000-C,111000.000000,call,20.333333,38.790000,0.016000
2025-06-07,2025-06-27,BTC-27JUN25-112000-C,112000.000000,call,20.333333,38.300000,0.014000
2025-06-07,2025-06-27,BTC-27JUN25-115000-C,115000.000000,call,20.333333,41.130000,0.010500
2025-06-07,2025-06-27,BTC-27JUN25-120000-C,120000.000000,call,20.333333,42.940000,0.005500
2025-06-07,2025-06-27,BTC-27JUN25-120000-P,120000.000000,put,20.333333,43.690000,0.140000
2025-06-07,2025-06-27,BTC-27JUN25-125000-C,125000.000000,call,20.333333,44.270000,0.002500
2025-06-07,2025-06-27,BTC-27JUN25-130000-C,130000.000000,call,20.333333,46.920000,0.001400
2025-06-07,2025-06-27,BTC-27JUN25-135000-C,135000.000000,call,20.333333,50.990000,0.000900
2025-06-07,2025-06-27,BTC-27JUN25-140000-C,140000.000000,call,20.333333,53.980000,0.000600
2025-06-07,2025-06-27,BTC-27JUN25-150000-C,150000.000000,call,20.333333,60.340000,0.000300
2025-06-07,2025-06-27,BTC-27JUN25-170000-C,170000.000000,call,20.333333,74.380000,0.000200
2025-06-07,2025-06-27,BTC-27JUN25-180000-C,180000.000000,call,20.333333,77.610000,0.000100
2025-06-07,2025-06-27,BTC-27JUN25-190000-C,190000.000000,call,20.333333,83.840000,0.000100
2025-06-07,2025-06-27,BTC-27JUN25-200000-P,200000.000000,put,20.333333,0.000000,0.892000
2025-06-06,2025-06-27,BTC-27JUN25-40000-P,40000.000000,put,21.333333,137.200000,0.000100
2025-06-06,2025-06-27,BTC-27JUN25-50000-P,50000.000000,put,21.333333,104.350000,0.000100
2025-06-06,2025-06-27,BTC-27JUN25-55000-C,55000.000000,call,21.333333,0.000000,0.473000
2025-06-06,2025-06-27,BTC-27JUN25-55000-P,55000.000000,put,21.333333,91.380000,0.000100
2025-06-06,2025-06-27,BTC-27JUN25-60000-P,60000.000000,put,21.333333,83.210000,0.000200
2025-06-06,2025-06-27,BTC-27JUN25-65000-P,65000.000000,put,21.333333,79.070000,0.000300
2025-06-06,2025-06-27,BTC-27JUN25-70000-C,70000.000000,call,21.333333,70.600000,0.324500
2025-06-06,2025-06-27,BTC-27JUN25-70000-P,70000.000000,put,21.333333,67.500000,0.000400
2025-06-06,2025-06-27,BTC-27JUN25-75000-C,75000.000000,call,21.333333,66.930000,0.276500
2025-06-06,2025-06-27,BTC-27JUN25-75000-P,75000.000000,put,21.333333,61.210000,0.000600
2025-06-06,2025-06-27,BTC-27JUN25-80000-P,80000.000000,put,21.333333,52.660000,0.001200
2025-06-06,2025-06-27,BTC-27JUN25-82000-P,82000.000000,put,21.333333,50.140000,0.001500
2025-06-06,2025-06-27,BTC-27JUN25-84000-P,84000.000000,put,21.333333,49.580000,0.001500
2025-06-06,2025-06-27,BTC-27JUN25-85000-P,85000.000000,put,21.333333,48.420000,0.001500
2025-06-06,2025-06-27,BTC-27JUN25-88000-P,88000.000000,put,21.333333,45.910000,0.002000
2025-06-06,2025-06-27,BTC-27JUN25-90000-C,90000.000000,call,21.333333,42.570000,0.119500
2025-06-06,2025-06-27,BTC-27JUN25-90000-P,90000.000000,put,21.333333,41.740000,0.002500
2025-06-06,2025-06-27,BTC-27JUN25-92000-C,92000.000000,call,21.333333,41.030000,0.119500
2025-06-06,2025-06-27,BTC-27JUN25-92000-P,92000.000000,put,21.333333,40.550000,0.003700
2025-06-06,2025-06-27,BTC-27JUN25-95000-C,95000.000000,call,21.333333,39.430000,0.095000
2025-06-06,2025-06-27,BTC-27JUN25-95000-P,95000.000000,put,21.333333,39.520000,0.007000
2025-06-06,2025-06-27,BTC-27JUN25-97000-P,97000.000000,put,21.333333,38.290000,0.009000
2025-06-06,2025-06-27,BTC-27JUN25-100000-C,100000.000000,call,21.333333,37.350000,0.057500
2025-06-06,2025-06-27,BTC-27JUN25-100000-P,100000.000000,put,21.333333,37.360000,0.016500
2025-06-06,2025-06-27,BTC-27JUN25-101000-C,101000.000000,call,21.333333,38.660000,0.046000
2025-06-06,2025-06-27,BTC-27JUN25-101000-P,101000.000000,put,21.333333,37.590000,0.020500
2025-06-06,2025-06-27,BTC-27JUN25-102000-C,102000.000000,call,21.333333,37.530000,0.049500
2025-06-06,2025-06-27,BTC-27JUN25-102000-P,102000.000000,put,21.333333,37.530000,0.023500
2025-06-06,2025-06-27,BTC-27JUN25-105000-C,105000.000000,call,21.333333,36.860000,0.033500
2025-06-06,2025-06-27,BTC-27JUN25-105000-P,105000.000000,put,21.333333,37.790000,0.033500
2025-06-06,2025-06-27,BTC-27JUN25-107000-C,107000.000000,call,21.333333,37.880000,0.027500
2025-06-06,2025-06-27,BTC-27JUN25-107000-P,107000.000000,put,21.333333,37.480000,0.046000
2025-06-06,2025-06-27,BTC-27JUN25-108000-C,108000.000000,call,21.333333,38.250000,0.024000
2025-06-06,2025-06-27,BTC-27JUN25-109000-C,109000.000000,call,21.333333,37.760000,0.022000
2025-06-06,2025-06-27,BTC-27JUN25-110000-C,110000.000000,call,21.333333,39.010000,0.018500
2025-06-06,2025-06-27,BTC-27JUN25-110000-P,110000.000000,put,21.333333,40.160000,0.080500
2025-06-06,2025-06-27,BTC-27JUN25-112000-C,112000.000000,call,21.333333,38.660000,0.012500
2025-06-06,2025-06-27,BTC-27JUN25-115000-C,115000.000000,call,21.333333,39.730000,0.008500
2025-06-06,2025-06-27,BTC-27JUN25-115000-P,115000.000000,put,21.333333,42.100000,0.133400
2025-06-06,2025-06-27,BTC-27JUN25-120000-C,120000.000000,call,21.333333,41.780000,0.004200
2025-06-06,2025-06-27,BTC-27JUN25-120000-P,120000.000000,put,21.333333,41.880000,0.145000
2025-06-06,2025-06-27,BTC-27JUN25-125000-C,125000.000000,call,21.333333,44.040000,0.002100
2025-06-06,2025-06-27,BTC-27JUN25-130000-C,130000.000000,call,21.333333,46.120000,0.001300
2025-06-06,2025-06-27,BTC-27JUN25-135000-C,135000.000000,call,21.333333,51.250000,0.000900
2025-06-06,2025-06-27,BTC-27JUN25-140000-C,140000.000000,call,21.333333,55.800000,0.000700
